group_id,source_sheet,source_row,service_no,guest_type,pax_clean,queue_start,queue_end,meal_start_clean,meal_end_clean,table_code,service_status,wait_minutes_recorded,wait_minutes_strict,meal_minutes,queue_observed,walkaway,queue_eligible,meal_eligible,pax_eligible,table_status,table_units_confirmed,needs_review,review_reason
173_31,173,32,31,Walk in,2,,,08:24:00,09:49:00,1B,direct_meal,,,85.0,0,0,0,1,1,documented,1B,0,
173_32,173,33,32,Walk in,1,,,08:33:00,09:13:00,2B,direct_meal,,,40.0,0,0,0,1,1,documented,2B,0,
173_33,173,34,33,In house,2,,,08:43:00,09:21:00,7A,direct_meal,,,38.0,0,0,0,1,1,documented,7A,0,
173_34,173,35,34,Walk in,2,,,08:41:00,09:31:00,14,direct_meal,,,50.0,0,0,0,1,1,documented,14,0,
173_35,173,36,35,Walk in,1,,,08:43:00,09:20:00,8C,direct_meal,,,37.0,0,0,0,1,1,documented,8C,0,
173_36,173,37,36,In house,2,,,08:50:00,09:30:00,11B,direct_meal,,,40.0,0,0,0,1,1,documented,11B,0,
173_37,173,38,37,In house,1,,,08:56:00,09:12:00,15,direct_meal,,,16.0,0,0,0,1,1,documented,15,0,
173_38,173,39,38,Walk in,1,,,09:05:00,09:37:00,16,direct_meal,,,32.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_39,173,40,39,Walk in,2,,,09:05:00,11:15:00,4,direct_meal,,,130.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_40,173,41,40,In house,2,,,09:10:00,10:22:00,8B,direct_meal,,,72.0,0,0,0,1,1,documented,8B,0,
173_41,173,42,41,Walk in,2,,,09:14:00,10:23:00,1A,direct_meal,,,69.0,0,0,0,1,1,documented,1A,0,
173_42,173,43,42,Walk in,1,,,09:16:00,10:46:00,1B,direct_meal,,,90.0,0,0,0,1,1,documented,1B,0,
173_43,173,44,43,In house,3,,,09:30:00,10:06:00,11,direct_meal,,,36.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_44,173,45,44,In house,1,,,09:32:00,09:53:00,7A,direct_meal,,,21.0,0,0,0,1,1,documented,7A,0,
173_45,173,46,45,In house,3,,,09:35:00,10:23:00,10,direct_meal,,,48.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_46,173,47,46,In house,1,,,08:36:00,12:13:00,8A,direct_meal,,,217.0,0,0,0,1,1,documented,8A,0,
173_47,173,48,47,In house,2,,,09:41:00,10:06:00,2,direct_meal,,,25.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_48,173,49,48,In house,2,,,09:45:00,10:18:00,16,direct_meal,,,33.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_49,173,50,49,Walk in,2,,,09:50:00,11:51:00,4,direct_meal,,,121.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_50,173,51,50,Walk in,2,,,09:52:00,11:00:00,7A,direct_meal,,,68.0,0,0,0,1,1,documented,7A,0,
173_51,173,52,51,In house,2,,,09:54:00,10:54:00,5B,direct_meal,,,60.0,0,0,0,1,1,documented,5B,0,
173_52,173,53,52,In house,1,,,08:54:00,10:58:00,5A,direct_meal,,,124.0,0,0,0,1,1,documented,5A,0,
173_53,173,54,53,Walk in,1,,,10:09:00,10:25:00,12,direct_meal,,,16.0,0,0,0,1,1,documented,12,0,
173_54,173,55,54,In house,1,,,10:10:00,11:24:00,3,direct_meal,,,74.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_55,173,56,55,Walk in,2,,,10:11:00,10:43:00,9,direct_meal,,,32.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
